Distance_(mm),Gray_Value
0.00000,15.5747
0.00471,18.8420
0.00942,18.8420
0.01414,21.7385
0.01885,21.7385
0.02356,22.1782
0.02827,22.1782
0.03298,22.0891
0.03770,22.0891
0.04241,20.3075
0.04712,20.3075
0.05183,15.7557
0.05654,15.7557
0.06126,14.3190
0.06597,14.3190
0.07068,14.4885
0.07539,14.4885
0.08010,16.5201
0.08482,16.5201
0.08953,21.9224
0.09424,21.9224
0.09895,25.0891
0.10367,25.0891
0.10838,25.3448
0.11309,25.3448
0.11780,24.5661
0.12251,24.5661
0.12723,22.1552
0.13194,22.1552
0.13665,17.7644
0.14136,17.7644
0.14607,16.4195
0.15079,16.4195
0.15550,16.7385
0.16021,16.7385
0.16492,19.7759
0.16963,19.7759
0.17435,25.6322
0.17906,26.0086
0.18377,31.7701
0.18848,43.7155
0.19319,50.1264
0.19791,59.4080
0.20262,54.1868
0.20733,54.6379
0.21204,38.9224
0.21675,32.2759
0.22147,23.2902
0.22618,23.1753
0.23089,17.9828
0.23560,17.9828
0.24031,15.4741
0.24503,15.4741
0.24974,15.6523
0.25445,15.6523
0.25916,19.5144
0.26387,28.2730
0.26859,55.0891
0.27330,76.2184
0.27801,87.9109
0.28272,99.1063
0.28743,93.8822
0.29215,97.7644
0.29686,80.7672
0.30157,67.7414
0.30628,42.6609
0.31100,29.8592
0.31571,22.6523
0.32042,22.6523
0.32513,19.9483
0.32984,19.9483
0.33456,19.2529
0.33927,19.2529
0.34398,19.3592
0.34869,19.3592
0.35340,21.6954
0.35812,29.3420
0.36283,42.7816
0.36754,58.5603
0.37225,61.0632
0.37696,67.6868
0.38168,55.6293
0.38639,44.4713
0.39110,26.3448
0.39581,18.1034
0.40052,15.7989
0.40524,15.7989
0.40995,15.8592
0.41466,15.8592
0.41937,17.4741
0.42408,17.4741
0.42880,20.6178
0.43351,20.6178
0.43822,24.5287
0.44293,24.5287
0.44764,25.6092
0.45236,25.5862
0.45707,25.2730
0.46178,25.2730
0.46649,23.0029
0.47120,23.0029
0.47592,18.4684
0.48063,18.4684
0.48534,16.7989
0.49005,16.7989
0.49476,16.8793
0.49948,16.8793
0.50419,19.9023
0.50890,19.9023
0.51361,26.0144
0.51833,32.0517
0.52304,44.9799
0.52775,61.4569
0.53246,64.5805
0.53717,69.2213
0.54189,59.5661
0.54660,56.8420
0.55131,34.7213
0.55602,28.5489
0.56073,22.0603
0.56545,22.0603
0.57016,16.5805
0.57487,16.5805
0.57958,14.2874
0.58429,14.2874
0.58901,13.4598
0.59372,13.4598
0.59843,15.3103
0.60314,15.3966
0.60785,19.5920
0.61257,23.7213
0.61728,26.1897
0.62199,26.7902
0.62670,21.4684
0.63141,20.3017
0.63613,17.5690
0.64084,17.4828
0.64555,15.3333
0.65026,15.3333
0.65497,16.3764
0.65969,16.3764
0.66440,17.5805
0.66911,17.5805
0.67382,22.1695
0.67853,22.1695
0.68325,27.5172
0.68796,35.5431
0.69267,49.3908
0.69738,64.5115
0.70209,61.7615
0.70681,66.4023
0.71152,55.1523
0.71623,45.3592
0.72094,28.7960
0.72566,24.6810
0.73037,19.0115
0.73508,19.0115
0.73979,16.6437
0.74450,16.6437
0.74922,16.7816
0.75393,16.7816
0.75864,18.9655
0.76335,18.9655
0.76806,23.7874
0.77278,23.7989
0.77749,25.7328
0.78220,25.7184
0.78691,25.7902
0.79162,25.8247
0.79634,24.9425
0.80105,24.9425
0.80576,20.7845
0.81047,20.7845
0.81518,15.6437
0.81990,15.6437
0.82461,13.5345
0.82932,13.5345
0.83403,13.5316
0.83874,13.5316
0.84346,16.2816
0.84817,16.6236
0.85288,22.7730
0.85759,24.3592
0.86230,27.3132
0.86702,30.6609
0.87173,27.2184
0.87644,25.2759
0.88115,22.8391
0.88586,22.8391
0.89058,18.4023
0.89529,18.4023
0.90000,17.1897
0.90471,17.1897
0.90943,16.7672
0.91414,16.7672
0.91885,19.4310
0.92356,19.4310
0.92827,24.2615
0.93299,33.5144
0.93770,51.9713
0.94241,72.7098
0.94712,72.1954
0.95183,79.2155
0.95655,71.6782
0.96126,68.2816
0.96597,44.0546
0.97068,29.1695
0.97539,18.5575
0.98011,18.1724
0.98482,16.3333
0.98953,16.3333
0.99424,16.7299
0.99895,16.7299
1.00367,18.8966
1.00838,18.8966
1.01309,24.2672
1.01780,24.8362
1.02251,32.8736
1.02723,48.5000
1.03194,55.0690
1.03665,62.6552
1.04136,55.8333
1.04607,55.0259
1.05079,36.4282
1.05550,29.6552
1.06021,21.9626
1.06492,21.9368
1.06963,16.0948
1.07435,16.0948
1.07906,14.5661
1.08377,14.5661
1.08848,14.8736
1.09319,14.8736
1.09791,18.9397
1.10262,18.9397
1.10733,24.0201
1.11204,24.7586
1.11676,27.6293
1.12147,29.1983
1.12618,28.1954
1.13089,28.0690
1.13560,25.5316
1.14032,25.5057
1.14503,21.3190
1.14974,21.3190
1.15445,16.1149
1.15916,16.1149
1.16388,14.9799
1.16859,14.9799
1.17330,14.6121
1.17801,14.6121
1.18272,18.0632
1.18744,18.0632
1.19215,21.9713
1.19686,21.9713
