Distance_(mm),Gray_Value
0.000000,24.828
0.004712,24.653
0.009424,25.031
0.014136,24.983
0.018848,26.596
0.023560,27.489
0.028272,28.073
0.032984,27.794
0.037696,27.658
0.042408,26.192
0.047120,26.105
0.051833,25.833
0.056545,25.811
0.061257,27.599
0.065969,29.331
0.070681,29.596
0.075393,27.647
0.080105,26.181
0.084817,25.107
0.089529,24.921
0.094241,25.638
0.098953,26.655
0.103665,27.367
0.108377,29.924
0.113089,27.808
0.117801,27.455
0.122513,24.963
0.127225,24.822
0.131937,24.684
0.136649,24.706
0.141361,27.006
0.146073,34.133
0.150785,43.175
0.155498,59.090
0.160210,51.746
0.164922,42.839
0.169634,27.138
0.174346,24.969
0.179058,24.472
0.183770,24.472
0.188482,25.588
0.193194,46.805
0.197906,76.969
0.202618,115.701
0.207330,111.534
0.212042,116.972
0.216754,64.732
0.221466,30.460
0.226178,20.186
0.230890,20.011
0.235602,20.195
0.240314,38.746
0.245026,81.582
0.249738,135.517
0.254451,141.992
0.259163,149.701
0.263875,142.661
0.268587,128.000
0.273299,74.107
0.278011,14.559
0.282723,8.370
0.287435,26.528
0.292147,101.218
0.296859,163.904
0.301571,151.994
0.306283,147.859
0.310995,146.331
0.315707,146.859
0.320419,135.387
0.325131,105.650
0.329843,32.345
0.334555,10.822
0.339267,6.525
0.343979,26.079
0.348691,109.579
0.353404,174.466
0.358116,181.814
0.362828,182.525
0.367540,127.895
0.372252,56.008
0.376964,18.237
0.381676,14.169
0.386388,14.133
0.391100,56.525
0.395812,101.460
0.400524,155.986
0.405236,150.641
0.409948,153.986
0.414660,163.907
0.419372,167.698
0.424084,110.322
0.428796,29.794
0.433508,10.395
0.438220,9.480
0.442932,55.158
0.447644,114.257
0.452356,139.136
0.457069,146.952
0.461781,143.593
0.466493,140.113
0.471205,84.910
0.475917,35.023
0.480629,18.062
0.485341,18.062
0.490053,26.822
0.494765,63.870
0.499477,108.542
0.504189,143.124
0.508901,123.709
0.513613,116.912
0.518325,55.771
0.523037,27.901
0.527749,25.056
0.532461,25.056
0.537173,24.393
0.541885,46.020
0.546597,71.664
0.551309,104.469
0.556022,81.540
0.560734,65.791
0.565446,33.209
0.570158,23.494
0.574870,24.404
0.579582,24.404
0.584294,26.319
0.589006,44.169
0.593718,42.944
0.598430,51.537
0.603142,33.121
0.607854,25.751
0.612566,25.429
0.617278,25.429
0.621990,25.901
0.626702,31.963
0.631414,34.545
0.636126,41.746
0.640838,30.342
0.645550,26.387
0.650262,25.460
0.654975,25.452
0.659687,25.831
0.664399,29.839
0.669111,32.607
0.673823,31.771
0.678535,26.644
0.683247,25.249
0.687959,25.407
0.692671,25.376
0.697383,26.085
0.702095,27.850
0.706807,29.079
0.711519,30.291
0.716231,26.370
0.720943,25.432
0.725655,25.446
0.730367,25.497
0.735079,25.565
0.739791,26.088
0.744503,26.234
0.749215,25.661
0.753927,25.404
0.758640,25.268
0.763352,25.395
0.768064,25.333
0.772776,25.992
0.777488,25.458
0.782200,25.667
0.786912,25.432
