Distance_(mm),Gray_Value
0.000000,42.659
0.004712,39.577
0.009424,38.854
0.014136,37.837
0.018848,39.244
0.023560,40.911
0.028272,41.008
0.032984,47.561
0.037696,41.992
0.042408,38.756
0.047120,38.732
0.051833,34.984
0.056545,40.512
0.061257,52.033
0.065969,63.878
0.070681,67.041
0.075393,51.073
0.080105,35.756
0.084817,27.667
0.089529,26.293
0.094241,28.724
0.098953,47.618
0.103665,68.073
0.108377,91.415
0.113089,81.301
0.117801,81.390
0.122513,41.935
0.127225,21.504
0.131937,21.919
0.136649,21.919
0.141361,26.602
0.146073,82.024
0.150785,111.382
0.155498,144.301
0.160210,127.163
0.164922,115.358
0.169634,46.659
0.174346,10.748
0.179058,8.179
0.183770,9.951
0.188482,108.065
0.193194,172.415
0.197906,149.780
0.202618,143.943
0.207330,144.049
0.212042,151.179
0.216754,126.626
0.221466,40.293
0.226178,6.098
0.230890,6.098
0.235602,100.374
0.240314,198.756
0.245026,200.341
0.249738,193.797
0.254451,198.049
0.259163,199.878
0.263875,177.423
0.268587,20.650
0.273299,8.976
0.278011,8.976
0.282723,32.496
0.287435,157.683
0.292147,146.154
0.296859,153.585
0.301571,161.528
0.306283,171.626
0.310995,163.236
0.315707,47.577
0.320419,10.049
0.325131,10.049
0.329843,26.106
0.334555,105.268
0.339267,137.699
0.343979,146.488
0.348691,134.447
0.353404,97.285
0.358116,25.098
0.362828,20.057
0.367540,21.878
0.372252,27.764
0.376964,77.772
0.381676,127.016
0.386388,103.577
0.391100,94.154
0.395812,37.675
0.400524,23.854
0.405236,23.976
0.409948,25.220
0.414660,59.911
0.419372,98.106
0.424084,89.569
0.428796,87.439
0.433508,47.008
0.438220,23.764
0.442932,24.650
0.447644,27.220
0.452356,44.919
0.457069,66.545
0.461781,61.203
0.466493,50.732
0.471205,33.065
0.475917,26.154
0.480629,33.626
0.485341,44.138
0.490053,44.407
0.494765,43.423
0.499477,34.285
0.504189,29.585
0.508901,30.976
0.513613,38.862
0.518325,45.951
0.523037,48.829
