Distance_(mm),Gray_Value
0.00000,18.851
0.00471,18.267
0.00942,18.267
0.01414,18.310
0.01885,18.310
0.02356,19.267
0.02827,19.267
0.03298,19.419
0.03770,19.419
0.04241,19.776
0.04712,19.776
0.05183,19.838
0.05654,19.838
0.06126,18.861
0.06597,18.861
0.07068,18.188
0.07539,18.188
0.08010,18.637
0.08482,18.637
0.08953,19.257
0.09424,19.257
0.09895,21.706
0.10367,21.706
0.10838,22.818
0.11309,22.818
0.11780,22.003
0.12251,22.003
0.12723,20.257
0.13194,20.257
0.13665,17.033
0.14136,17.033
0.14607,16.158
0.15079,16.158
0.15550,17.185
0.16021,17.185
0.16492,20.353
0.16963,20.353
0.17435,25.254
0.17906,28.053
0.18377,30.726
0.18848,40.257
0.19319,34.389
0.19791,38.439
0.20262,26.970
0.20733,24.901
0.21204,18.508
0.21675,18.508
0.22147,14.033
0.22618,14.033
0.23089,13.558
0.23560,13.558
0.24031,17.452
0.24503,29.152
0.24974,62.188
0.25445,92.581
0.25916,103.162
0.26387,117.135
0.26859,108.591
0.27330,113.040
0.27801,85.459
0.28272,63.974
0.28743,31.845
0.29215,25.419
0.29686,22.693
0.30157,22.693
0.30628,21.185
0.31100,21.185
0.31571,20.818
0.32042,31.766
0.32513,61.356
0.32984,96.977
0.33456,114.304
0.33927,134.446
0.34398,127.875
0.34869,133.993
0.35340,113.541
0.35812,94.046
0.36283,58.947
0.36754,27.835
0.37225,15.974
0.37696,15.739
0.38168,17.026
0.38639,17.026
0.39110,20.125
0.39581,20.125
0.40052,24.878
0.40524,29.505
0.40995,34.297
0.41466,48.066
0.41937,39.059
0.42408,38.802
0.42880,23.350
0.43351,21.551
0.43822,17.003
0.44293,17.003
0.44764,16.617
0.45236,16.617
0.45707,17.304
0.46178,17.304
0.46649,26.927
0.47120,46.690
0.47592,64.350
0.48063,81.574
0.48534,75.917
0.49005,81.977
0.49476,57.564
0.49948,39.554
0.50419,23.195
0.50890,23.000
0.51361,18.261
0.51833,18.261
0.52304,16.386
0.52775,16.386
0.53246,16.353
0.53717,17.680
0.54189,36.198
0.54660,63.881
0.55131,76.700
0.55602,86.129
0.56073,79.413
0.56545,76.855
0.57016,45.601
0.57487,25.139
0.57958,19.597
0.58429,19.597
0.58901,19.776
0.59372,19.776
0.59843,20.205
0.60314,20.205
0.60785,23.785
0.61257,26.587
0.61728,46.868
0.62199,77.960
0.62670,80.630
0.63141,91.825
0.63613,82.350
0.64084,78.878
0.64555,45.657
0.65026,26.188
0.65497,17.116
0.65969,17.106
0.66440,16.812
0.66911,16.812
0.67382,18.109
0.67853,18.109
0.68325,22.521
0.68796,22.875
0.69267,26.838
0.69738,31.386
0.70209,28.026
0.70681,31.802
0.71152,23.851
0.71623,23.376
0.72094,16.350
0.72566,16.350
0.73037,11.653
0.73508,11.653
0.73979,10.944
0.74450,10.957
0.74922,17.743
0.75393,35.360
0.75864,66.317
0.76335,86.838
0.76806,92.241
0.77278,98.092
0.77749,83.102
0.78220,70.175
0.78691,36.927
0.79162,25.591
0.79634,21.719
0.80105,21.719
0.80576,20.818
0.81047,20.818
0.81518,20.746
0.81990,20.746
0.82461,28.376
0.82932,47.987
0.83403,76.756
0.83874,99.746
0.84346,102.172
0.84817,113.393
0.85288,98.228
0.85759,88.690
0.86230,54.158
0.86702,29.145
0.87173,17.663
0.87644,17.554
0.88115,17.578
0.88586,17.578
0.89058,18.554
0.89529,18.554
0.90000,23.023
0.90471,23.848
0.90943,35.182
0.91414,53.815
0.91885,55.884
0.92356,63.710
0.92827,47.241
0.93299,33.855
0.93770,22.960
0.94241,22.413
0.94712,17.083
0.95183,17.083
0.95655,15.970
0.96126,15.970
0.96597,16.406
0.97068,16.406
0.97539,20.277
0.98011,20.277
0.98482,23.271
0.98953,23.422
0.99424,24.125
0.99895,24.026
1.00367,23.330
1.00838,23.330
1.01309,18.878
1.01780,18.878
1.02251,16.594
1.02723,16.594
1.03194,15.983
1.03665,15.983
1.04136,17.112
1.04607,17.112
1.05079,19.776
1.05550,19.776
1.06021,20.409
1.06492,20.409
1.06963,20.274
1.07435,20.274
1.07906,17.878
1.08377,17.878
1.08848,16.079
1.09319,16.079
1.09791,16.050
1.10262,16.050
1.10733,15.802
1.11204,15.802
1.11676,17.535
1.12147,17.535
1.12618,18.142
1.13089,18.142
1.13560,18.106
1.14032,18.106
1.14503,16.743
1.14974,16.743
1.15445,15.762
1.15916,15.762
1.16388,15.888
1.16859,15.888
1.17330,15.809
1.17801,15.809
1.18272,16.347
1.18744,16.347
1.19215,17.172
