Distance_(mm),Gray_Value
0.000000,23.635
0.004712,23.635
0.009424,23.382
0.014136,23.382
0.018848,23.303
0.023560,23.303
0.028272,23.129
0.032984,23.129
0.037696,22.798
0.042408,22.798
0.047120,22.923
0.051833,22.923
0.056545,23.464
0.061257,23.493
0.065969,24.026
0.070681,24.522
0.075393,24.223
0.080105,24.829
0.084817,23.059
0.089529,23.205
0.094241,21.528
0.098953,21.616
0.103665,20.550
0.108377,20.669
0.113089,23.337
0.117801,35.336
0.122513,42.590
0.127225,55.146
0.131937,55.710
0.136649,61.763
0.141361,51.084
0.146073,52.379
0.150785,36.192
0.155498,32.958
0.160210,23.488
0.164922,22.411
0.169634,25.810
0.174346,43.281
0.179058,62.065
0.183770,86.098
0.188482,102.631
0.193194,126.258
0.197906,129.067
0.202618,126.590
0.207330,99.340
0.212042,79.327
0.216754,57.135
0.221466,39.309
0.226178,28.703
0.230890,34.440
0.235602,55.032
0.240314,79.465
0.245026,96.381
0.249738,118.978
0.254451,133.700
0.259163,146.875
0.263875,134.547
0.268587,115.612
0.273299,91.069
0.278011,66.223
0.282723,45.945
0.287435,27.171
0.292147,35.638
0.296859,48.506
0.301571,68.790
0.306283,89.699
0.310995,92.924
0.315707,104.468
0.320419,80.940
0.325131,75.324
0.329843,50.918
0.334555,42.367
0.339267,26.844
0.343979,26.035
0.348691,42.808
0.353404,66.769
0.358116,85.026
0.362828,106.048
0.367540,118.973
0.372252,130.745
0.376964,109.635
0.381676,95.530
0.386388,70.273
0.391100,55.543
0.395812,36.363
0.400524,26.977
0.405236,28.143
0.409948,50.158
0.414660,62.936
0.419372,89.552
0.424084,91.635
0.428796,109.893
0.433508,89.873
0.438220,78.872
0.442932,54.749
0.447644,39.337
0.452356,25.311
0.457069,24.111
0.461781,45.289
0.466493,66.263
0.471205,87.955
0.475917,105.818
0.480629,121.397
0.485341,131.916
0.490053,114.127
0.494765,95.717
0.499477,71.664
0.504189,55.590
0.508901,35.149
0.513613,27.240
0.518325,40.477
0.523037,62.903
0.527749,84.271
0.532461,103.789
0.537173,117.703
0.541885,131.942
0.546597,112.878
0.551309,99.443
0.556022,70.332
0.560734,57.184
0.565446,38.397
0.570158,28.640
0.574870,24.328
0.579582,37.013
0.584294,51.095
0.589006,74.085
0.593718,75.330
0.598430,90.813
0.603142,75.072
0.607854,72.409
0.612566,52.677
0.617278,45.021
0.621990,31.604
0.626702,24.069
0.631414,22.459
0.636126,26.186
0.640838,30.990
0.645550,42.711
0.650262,38.767
0.654975,44.664
0.659687,32.942
0.664399,36.066
0.669111,28.496
0.673823,27.104
0.678535,23.010
0.683247,22.582
0.687959,22.737
0.692671,23.512
0.697383,23.702
0.702095,24.548
0.706807,23.514
0.711519,23.676
0.716231,23.320
0.720943,23.284
0.725655,22.736
0.730367,22.736
0.735079,22.455
0.739791,22.477
0.744503,22.449
0.749215,22.449
0.753927,22.664
0.758640,22.678
0.763352,23.049
0.768064,23.049
0.772776,23.097
0.777488,23.097
0.782200,22.964
0.786912,22.964
0.791624,23.040
